year,cap_percent,passing_percentage,passing_yards_per_attempt,games,passing_yards_per_game,rushing_yards_per_game,passing_tds_per_game,rushing_tds_per_game,sacks_per_game,turnovers_per_game
2014,5.269,58.5,7,14,223.35714285714286,38.5,1.2857142857142858,0.35714285714285715,2.7142857142857144,1.2142857142857142
2014,2.833,60.5,7,16,210.5625,39.9375,1.1875,0.0625,3.25,0.9375
2014,0.734,58.1,5.5,16,204.375,5.75,1.3125,0,1.5,1
2014,13.835,69.2,7.5,16,309.5,4.25,2.0625,0.0625,1.8125,1.25
2014,15.338,63.1,7.3,16,275.625,1.9375,1.875,0.0625,1.75,1.125
2014,0.858,59.7,6.9,14,180.35714285714286,17,0.9285714285714286,0.07142857142857142,2,1.1428571428571428
2014,13.91,66,6.8,15,254.13333333333333,12.733333333333333,1.8666666666666667,0.13333333333333333,2.533333333333333,1.6
2014,11.128,62.1,7.2,16,249.125,4.375,1.6875,0.125,1.1875,0.75
2014,3.571,56.3,6.7,11,200.54545454545453,11.545454545454545,1,0.2727272727272727,3.272727272727273,1.6363636363636365
2014,3.008,64.2,6.8,12,251.5,1.1666666666666667,1.5,0.08333333333333333,2.75,1.0833333333333333
2014,13.158,66.1,7.5,16,293.375,9.0625,1.75,0,1.9375,1
2014,11.895,60.3,7.1,16,266.0625,5.8125,1.375,0.125,2.8125,0.9375
2014,3.008,52.9,5,10,60.4,15.3,0.3,0,1.9,0.4
2014,13.158,66.2,7.9,16,295.4375,-1.5,2.4375,0,1.0625,1.0625
2014,12.531,66.5,7.5,16,267.875,6.375,1.9375,0,2.25,1.25
2014,0.615,63.1,7.7,16,217.1875,53.0625,1.25,0.375,2.625,0.4375
2014,2.538,63.1,8,12,206.91666666666666,15.333333333333334,1.4166666666666667,0.16666666666666666,1.75,0.75
2014,2.598,66.4,6.9,16,252.8125,19.4375,1.6875,0.0625,2.875,0.875
2014,0.936,64.4,7.3,13,224.53846153846155,16.076923076923077,1.0769230769230769,0.07692307692307693,3,0.9230769230769231
2014,11.128,64.1,7.1,16,256.8125,3.5625,2.0625,0,1.3125,0.75
2014,8.852,69.9,8.5,15,247,4.066666666666666,2.2666666666666666,0,1.9333333333333333,0.8
2015,12.737,60.7,6.7,16,238.8125,21.5,1.9375,0.0625,2.875,0.75
2015,10.888,65.3,7.4,16,217.875,31.125,1.25,0.125,2.8125,0.4375
2015,6.7,66.1,8.4,13,250,10.923076923076923,1.9230769230769231,0.23076923076923078,1.5384615384615385,0.6923076923076923
2015,12.036,68,8.4,12,328.1666666666667,2.4166666666666665,1.75,0,1.6666666666666667,1.3333333333333333
2015,3.276,58.6,7.3,16,276.75,19.375,2.1875,0.125,3.1875,1.4375
2015,3.642,60.7,7.1,11,236.9090909090909,4,1.7272727272727273,0,2.272727272727273,0.8181818181818182
2015,9.073,59.8,7.8,16,239.8125,39.75,2.1875,0.625,2.0625,0.875
2015,5.147,63.7,8.7,16,291.9375,1.5,2.1875,0.0625,1.5625,0.8125
2015,0.852,61.1,7,16,249.1875,8.625,2,0,1.9375,1
2015,16.611,68.3,7.8,15,324.6666666666667,0.9333333333333333,2.1333333333333333,0.06666666666666667,2.066666666666667,0.8666666666666667
2015,10.085,62.6,7.2,16,277,3.8125,2.1875,0,1.6875,1.125
2015,3.217,58.3,7.6,16,252.625,13.3125,1.375,0.375,1.6875,1.0625
2015,11.516,64.4,7.6,15,243.93333333333334,13.4,1.4,0.06666666666666667,1.9333333333333333,1.0666666666666667
2015,10.155,64.4,6.8,10,279.1,2.3,1.4,0.3,1.6,1.4
2015,0.543,69.8,7.7,16,260.375,3,1.8125,0.3125,1.625,0.875
2015,3.073,62.2,7.6,12,234.83333333333334,21,1.5833333333333333,0.16666666666666666,3.1666666666666665,1.3333333333333333
2015,13.61,66.3,7.5,16,286.9375,3.9375,1.3125,0,1.875,1.3125
2015,12.368,67.2,7.2,16,266.375,9.9375,2,0.0625,2.75,0.9375
2015,2.821,56.4,6.1,11,186.54545454545453,1.8181818181818181,0.6363636363636364,0.09090909090909091,1.2727272727272727,1.0909090909090908
2015,12.214,59.8,6.8,10,224.9,-0.6,0.9,0,1.6,1.7
2015,14.773,66.1,7.2,16,299.5,1.75,1.8125,0,2.5,0.9375
2015,4.924,68.1,8.3,16,251.5,34.5625,2.125,0.0625,2.8125,0.6875
2015,2.268,59.6,6.9,16,244.0625,16.875,1.9375,0.125,1.1875,1.0625
2015,3.401,61.9,7.2,16,263,8.8125,1.5,0.0625,2.8125,0.9375
2015,9.063,65,7,14,266.07142857142856,2.7857142857142856,1.3571428571428572,0,2,1.2142857142857142
2015,1.086,65.3,7.2,16,201.9375,12,0.875,0.1875,2.75,0.75
2015,9.771,64.4,7.6,16,298.125,3.3125,2.25,0.1875,2.375,0.5625
2015,0.617,63.7,8,14,216.78571428571428,40.57142857142857,1.4285714285714286,0.2857142857142857,2.5714285714285716,0.5
2016,12.398,65.7,7.3,16,276.75,23.0625,2.5,0.25,2.1875,0.6875
2016,11.464,67.1,7.2,15,233.46666666666667,8.933333333333334,1,0.3333333333333333,1.8666666666666667,0.8
2016,11.85,63.5,7.8,15,282.6666666666667,22.733333333333334,2.066666666666667,0.13333333333333333,2.7333333333333334,1.2
2016,8.437,64.7,7.5,16,262.875,11.5,1.125,0.25,2.5625,0.6875
2016,15.425,64.4,7.5,14,272.7857142857143,1,2.0714285714285716,0.07142857142857142,1.2142857142857142,1.0714285714285714
2016,3.628,58.9,6.2,16,244.0625,22.4375,1.4375,0.1875,2.125,1.375
2016,7.728,59,5.8,15,197.13333333333333,8.733333333333333,1,0.13333333333333333,1.8,1.1333333333333333
2016,12.559,52.9,6.9,15,233.93333333333334,23.933333333333334,1.2666666666666666,0.3333333333333333,2.4,1.0666666666666667
2016,11.834,61,7.1,15,282.2,2.533333333333333,1.7333333333333334,0,2.6666666666666665,1.2
2016,3.124,62.4,6.2,16,236.375,9.375,1,0.125,2.0625,1.0625
2016,2.341,60.9,6.8,10,220.1,5.1,0.9,0.1,2.3,1.2
2016,13.03,59.2,6.8,12,186.75,39,1.3333333333333333,0.16666666666666666,3,0.5833333333333334
2016,0.352,67.8,8,16,229.1875,17.625,1.4375,0.375,1.5625,0.5
2016,0.944,63.8,7,15,262.46666666666664,4.666666666666667,1.8666666666666667,0,1.0666666666666667,0.6
2016,11.11,70,7.7,16,325.5,1.25,2.3125,0.125,1.6875,1.1875
2016,15.586,63,6.7,16,251.6875,-0.5625,1.625,0,1.3125,1.25
2016,3.711,60.8,7.2,16,255.625,10.3125,1.75,0.0625,2.1875,1.5
2016,14.523,64.9,6.4,16,269.8125,3.625,1.25,0.125,2.0625,1.125
2016,12.851,67,8.1,16,307.3125,6,1.5625,0.25,1.4375,0.9375
2016,3.544,61.2,7.6,15,228.4,23.266666666666666,1.7333333333333334,0.13333333333333333,1.5333333333333334,0.9333333333333333
2016,15.296,69.9,9.3,16,309,7.3125,2.375,0,2.3125,0.5625
2016,14.491,65.3,7.3,16,270.4375,12.9375,1.5,0.125,2.3125,0.75
2016,10.627,60.4,7.6,16,274.125,2.1875,2.0625,0,2.25,1.625
2016,11.942,64.7,7.7,16,263.6875,16.1875,1.3125,0.0625,2.5625,0.8125
2016,4.508,56.6,6.7,14,193.57142857142858,9.285714285714286,0.8571428571428571,0,1.3571428571428572,1.2857142857142858
2016,7.497,67.1,7.7,13,230.3846153846154,12.615384615384615,1.4615384615384615,0.07692307692307693,2.230769230769231,1.1538461538461537
2016,4.508,71.6,7,15,258.46666666666664,3.533333333333333,1.3333333333333333,0,2.466666666666667,0.6666666666666666
2016,8.865,67.4,8.2,12,296.1666666666667,5.333333333333333,2.3333333333333335,0,1.25,0.16666666666666666
2016,0.347,59.5,7,14,242.92857142857142,4.071428571428571,1.2857142857142858,0,2.2142857142857144,0.8571428571428571
2016,4.452,61.7,6.9,15,201.53333333333333,38.666666666666664,1.1333333333333333,0.4,2.8,0.5333333333333333
2017,10.12,67.5,8,15,269.46666666666664,23.666666666666668,1.7333333333333334,0.06666666666666667,2.3333333333333335,0.4
2017,9.401,59.9,6.7,16,207.5,6.1875,1.5625,0,2.4375,1
2017,10.898,64.2,7.6,15,283.4,3.1333333333333333,1.8666666666666667,0,1.4,1
2017,3.935,60.2,7,16,230.4375,20.125,1.3125,0.125,1.5,1
2017,0.402,60.8,5.8,11,166.9090909090909,24.545454545454547,0.8181818181818182,0.18181818181818182,2.6363636363636362,1.2727272727272727
2017,0.285,58.3,6.1,11,117,0.36363636363636365,0.36363636363636365,0.09090909090909091,1.4545454545454546,0.45454545454545453
2017,12.075,59.1,6.7,16,206.375,47.125,1.375,0.375,2.1875,1.0625
2017,3.63,60.2,7.5,13,253.53846153846155,23,2.5384615384615383,0,2.1538461538461537,0.7692307692307693
2017,1.141,67.6,7.4,15,236.46666666666667,10.666666666666666,1.4666666666666666,0.06666666666666667,1.4666666666666666,0.5333333333333333
2017,0.381,62.9,6.8,16,207.75,22.3125,1.375,0.375,2,1
2017,9.42,62.7,6.8,15,233.06666666666666,4.4,1.4666666666666666,0,1.3333333333333333,1.0666666666666667
2017,0.539,53.6,6.1,15,192.93333333333334,27.933333333333334,0.7333333333333333,0.3333333333333333,2.533333333333333,1.8666666666666667
2017,11.377,72,8.1,16,270.875,0.75,1.4375,0.125,1.25,0.5
2017,11.796,61.6,6.1,15,231.2,1.7333333333333334,1.2666666666666666,0.06666666666666667,2.066666666666667,1.2
2017,0.347,58.8,6.6,16,193.625,16.25,0.8125,0.25,3.25,0.625
2017,4.14,63.8,7.9,13,269.53846153846155,10.384615384615385,1.4615384615384615,0.07692307692307693,2.5384615384615383,1.3846153846153846
2017,3.802,62.1,8,15,253.6,3.4,1.8666666666666667,0.06666666666666667,1.6666666666666667,0.6666666666666666
2017,5.988,62,6.2,14,190.42857142857142,2.2857142857142856,1.3571428571428572,0,1.4285714285714286,1
2017,14.701,64.1,5.7,16,196.3125,3.375,1.125,0.0625,1.6875,0.8125
2017,3.892,67.3,7.4,13,225.07692307692307,9.538461538461538,1.3846153846153846,0.38461538461538464,3,1
2017,14.337,64.3,7.6,16,255.8125,11.1875,1.6875,0.25,2.5625,1.125
2017,3.954,62,7.1,15,215.46666666666667,20.8,0.8666666666666667,0.3333333333333333,1.8,1.0666666666666667
2017,14.222,64.7,7.7,16,255.9375,8.9375,1.25,0,1.5,0.9375
2017,9.88,65.7,7.9,16,277.875,6.125,1.8125,0,2.9375,1.0625
2017,3.161,59.4,6.6,12,182.75,20.666666666666668,0.5833333333333334,0.16666666666666666,2.5833333333333335,0.8333333333333334
2017,10.778,62.6,7.9,16,282.1875,-0.125,1.75,0,1.125,0.6875
2017,8.758,61.3,7.2,16,248.9375,36.625,2.125,0.1875,2.6875,0.875
2017,8.383,66.3,7.9,16,286.0625,1.75,2,0,2.1875,0.6875
2017,0.376,59,6.5,11,207.72727272727272,11.545454545454545,1.0909090909090908,0.09090909090909091,3,1.4545454545454546
2017,5.816,62.6,6.7,15,186.6,28.466666666666665,0.9333333333333333,0.26666666666666666,3.066666666666667,0.4
2018,11.795,62.3,7.4,16,277.625,16.8125,1.5625,0.125,3.0625,0.3125
2018,10.384,62.5,6.6,10,218,16.8,1,0.1,2.2,0.6
2018,13.77,67.3,7.2,16,287.0625,9.25,2.4375,0,1.125,1
2018,9.199,61.9,7,11,233.27272727272728,9,1.9090909090909092,0,1.9090909090909092,1
2018,3.353,63.8,7.7,14,266.07142857142856,9.357142857142858,1.9285714285714286,0,1.7857142857142858,1.2142857142857142
2018,13.093,67,7.6,16,320.5625,6.125,2.125,0.1875,1.5,1.125
2018,5.643,60.3,6.7,13,209.07692307692307,28.076923076923077,1,0.07692307692307693,2.3846153846153846,1.1538461538461537
